Kpmag,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase
12.79,32.65,0.72,3.912,0.068,118.8,  4.8, 13.7, 1.3,4968,162,2.429,0.013,-0.01,0.3,1.34,0.15,11.68,0.54,1.31,0.15,11.56,0.54,1.35,0.15,11.76,0.55,2
13.05,120.79,0.98,10.448,0.022, 42.1,  1.3, 37.4, 6.7,4964,80,2.997,0.007,-0.33,0.15,1.33,0.07,6.06,0.11,1.25,0.06,5.88,0.11,1.36,0.07,6.12,0.11,1
13.12,171.02,0.86,13.67,0.018, 45.0,  2.6, 44.8, 2.5,4829,80,3.142,0.006,0.15,0.15,1.24,0.06,4.94,0.09,1.19,0.06,4.85,0.08,1.25,0.06,4.96,0.09,1
13.15,37.4,0.66,4.316,0.037,114.1,  5.5, 14.9, 1.1,5092,153,2.494,0.011,-0.1,0.3,1.41,0.12,11.13,0.36,1.41,0.12,11.13,0.36,1.43,0.12,11.23,0.36,2
11.55,5.38,0.3,1.07,0.013,453.1, 49.9,  2.6, 0.7,4443,100,1.622,0.025,-0.23,0.15,0.9,0.16,24.32,1.53,0.76,0.14,22.3,1.39,0.88,0.16,24.05,1.51,1
13.92,177.11,2.62,13.669,0.024, 34.5,  2.6, 71.8,11.6,5293,168,3.177,0.01,-0.07,0.3,1.58,0.12,5.36,0.14,1.64,0.12,5.47,0.14,1.6,0.12,5.41,0.14,1
13.62,38.74,0.64,4.361,0.018,117.3,  4.9, 15.3, 2.1,4689,144,2.491,0.011,0.37,0.3,1.33,0.1,10.84,0.3,1.25,0.1,10.51,0.29,1.33,0.1,10.84,0.3,1
11.52,69.14,0.59,6.241,0.013, 36.5,  3.1, 21.2, 2.7,4956,100,2.755,0.007,0.11,0.15,1.95,0.11,9.71,0.19,1.9,0.1,9.56,0.19,2.0,0.11,9.83,0.19,1
10.89,40.37,0.54,4.085,0.019, 65.8,  3.0, 15.6, 1.4,4767,100,2.513,0.009,-0.06,0.15,2.0,0.13,12.98,0.31,1.84,0.12,12.45,0.3,2.02,0.13,13.05,0.31,1
10.19,150.14,1.04,12.178,0.015, 44.5,  1.9, 41.3, 1.9,4760,80,3.083,0.006,0.28,0.15,1.3,0.06,5.43,0.1,1.24,0.06,5.29,0.09,1.31,0.06,5.44,0.1,1
12.55,24.41,1.27,3.667,0.091,144.8,  6.6, 12.2, 8.0,5072,164,2.307,0.024,-0.13,0.3,0.75,0.15,10.05,0.75,0.79,0.15,10.36,0.78,0.76,0.15,10.14,0.76,2
11.41,25.71,0.64,3.641,0.083,160.0,  7.8, 10.9, 1.1,4821,100,2.319,0.012,0.1,0.15,0.83,0.11,10.47,0.57,0.85,0.11,10.59,0.58,0.84,0.11,10.52,0.58,2
10.64,43.99,4.33,5.425,0.405, 86.3, 23.8, 15.3, 4.5,4679,163,2.546,0.044,-0.32,0.3,0.81,0.34,7.95,1.43,0.7,0.29,7.41,1.3,0.8,0.34,7.91,1.42,2
11.09,135.02,0.65,11.768,0.018, 54.5,  2.1, 35.5, 1.2,4808,80,3.039,0.006,-0.26,0.15,1.1,0.05,5.25,0.09,1.0,0.05,5.01,0.09,1.1,0.05,5.25,0.09,1
10.61,49.0,1.19,4.464,0.032, 43.1,  3.3, 17.1, 2.0,4912,80,2.603,0.012,0.26,0.15,2.62,0.24,13.39,0.44,2.65,0.24,13.47,0.44,2.7,0.24,13.59,0.44,2
11.57,51.54,2.44,5.188,0.048, 29.8,  6.8, 18.3, 6.8,4789,80,2.62,0.021,-0.57,0.15,1.61,0.25,10.3,0.55,1.42,0.22,9.65,0.51,1.58,0.24,10.19,0.54,2
11.86,56.04,0.67,5.369,0.012, 62.9,  2.4, 20.1, 1.6,4789,100,2.656,0.008,-0.04,0.15,1.8,0.11,10.45,0.23,1.66,0.1,10.03,0.22,1.84,0.11,10.54,0.23,1
12.08,197.27,1.05,14.722,0.048, 20.4,  1.0, 57.3, 3.2,5333,172,3.226,0.009,-0.31,0.3,1.64,0.1,5.17,0.12,1.69,0.11,5.26,0.12,1.68,0.11,5.24,0.12,1
13.65,124.25,1.05,10.796,0.022, 45.9,  2.2, 42.7, 7.5,5143,158,3.017,0.009,-0.12,0.3,1.34,0.09,5.94,0.14,1.36,0.09,5.99,0.14,1.36,0.09,5.99,0.14,1
11.4,100.8,1.28,8.077,0.036, 32.4,  1.2, 43.1, 3.4,5016,80,2.921,0.008,-0.0,0.15,2.2,0.13,8.5,0.19,2.17,0.13,8.46,0.19,2.27,0.14,8.64,0.19,2
12.49,5.43,0.34,0.933,0.026,540.9, 48.5,  2.6, 0.6,4133,80,1.61,0.028,0.03,0.15,1.44,0.32,31.17,2.66,1.28,0.28,29.29,2.47,1.41,0.31,30.79,2.62,1
12.23,44.6,0.59,4.858,0.017,103.0,  4.6, 15.6, 1.2,4594,138,2.548,0.01,-0.37,0.3,1.28,0.09,9.95,0.25,1.1,0.08,9.26,0.23,1.24,0.09,9.81,0.25,1
10.36,90.4,0.96,7.407,0.034, 37.2,  1.3, 34.4, 1.9,5217,100,2.882,0.008,0.12,0.15,2.38,0.14,9.25,0.2,2.53,0.15,9.55,0.21,2.46,0.14,9.4,0.21,2
