Kpmag,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase
12.71,50.11,2.07,4.933,0.074, 41.4,  3.8, 24.9, 4.2,4887,80,2.612,0.019,0.09,0.15,1.87,0.27,11.19,0.6,1.78,0.26,10.92,0.58,1.91,0.28,11.32,0.61,2
11.48,108.49,2.08,8.446,0.024, 23.3,  1.5, 43.1, 4.3,5046,80,2.954,0.01,-0.06,0.15,2.31,0.17,8.4,0.22,2.31,0.17,8.39,0.22,2.41,0.18,8.57,0.22,1
10.13,50.82,1.39,4.696,0.031, 40.4,  2.3, 20.1, 2.2,4972,80,2.622,0.013,-0.06,0.15,2.43,0.24,12.63,0.44,2.41,0.23,12.55,0.43,2.5,0.24,12.79,0.44,2
13.57,35.3,0.46,4.133,0.043,110.4,  4.4, 15.5, 1.4,4943,155,2.462,0.01,0.04,0.3,1.35,0.11,11.29,0.37,1.31,0.11,11.15,0.36,1.36,0.11,11.36,0.37,2
13.63,28.49,0.68,3.764,0.036,132.7,  6.3, 11.1, 1.1,4867,144,2.366,0.013,-0.24,0.3,1.01,0.1,10.9,0.4,0.95,0.09,10.58,0.39,1.01,0.1,10.92,0.4,2
12.97,45.4,0.41,4.774,0.02, 93.5,  5.2, 14.9, 1.1,4681,80,2.56,0.007,-0.13,0.15,1.48,0.08,10.59,0.22,1.32,0.07,10.01,0.2,1.48,0.08,10.57,0.22,1
13.39,12.85,0.35,1.722,0.023,157.3, 10.0,  5.0, 0.8,4625,80,2.009,0.013,-0.43,0.15,1.95,0.21,22.9,0.95,1.75,0.19,21.69,0.89,1.9,0.2,22.6,0.94,1
13.17,113.02,0.75,9.853,0.015, 64.7,  2.6, 32.5, 1.1,4664,80,2.955,0.006,0.35,0.15,1.25,0.06,6.18,0.11,1.17,0.06,5.97,0.11,1.25,0.06,6.18,0.11,1
15.78,43.57,0.59,5.023,0.025,100.7,  6.9, 15.0, 1.2,4775,139,2.546,0.01,-0.31,0.3,1.1,0.08,9.27,0.24,0.98,0.07,8.75,0.23,1.09,0.08,9.23,0.24,2
11.21,48.57,1.8,4.759,0.036, 44.4,  2.0, 19.6, 1.0,4912,80,2.599,0.017,-0.04,0.15,1.98,0.24,11.68,0.5,1.88,0.23,11.39,0.49,2.03,0.25,11.83,0.51,1
12.7,30.23,0.61,3.91,0.127,134.6,  5.5, 11.8, 1.0,5179,155,2.405,0.012,0.09,0.3,1.13,0.18,11.06,0.79,1.19,0.19,11.33,0.81,1.14,0.18,11.09,0.79,2
15.88,64.24,1.17,6.28,0.02,103.3,  5.8, 30.6, 2.3,4496,127,2.702,0.011,-0.01,0.3,1.32,0.1,8.49,0.24,1.16,0.09,7.95,0.22,1.3,0.1,8.43,0.23,1
15.88,79.8,0.96,7.522,0.025, 68.8,  4.0, 26.8, 4.0,4715,135,2.806,0.009,-0.11,0.3,1.32,0.09,7.53,0.18,1.19,0.08,7.13,0.17,1.32,0.09,7.53,0.18,1
12.33,26.23,0.56,3.501,0.065,151.9,  6.4, 11.1, 1.1,4878,141,2.33,0.012,-0.05,0.3,1.05,0.12,11.61,0.55,1.02,0.12,11.46,0.54,1.06,0.12,11.64,0.55,2
15.43,35.25,0.51,4.279,0.011,124.7,  7.2, 12.7, 1.1,4573,129,2.445,0.01,-0.18,0.3,1.04,0.07,10.12,0.25,0.9,0.06,9.41,0.23,1.02,0.07,10.02,0.25,1
15.06,124.35,0.99,10.63,0.025, 58.8,  3.1, 38.0, 4.0,4660,152,2.996,0.009,-0.88,0.3,1.23,0.08,5.84,0.14,1.04,0.07,5.36,0.12,1.15,0.08,5.64,0.13,1
15.25,27.61,0.94,3.582,0.051,125.4,  6.6, 11.7, 1.3,4994,179,2.358,0.017,0.21,0.3,1.16,0.16,11.82,0.59,1.19,0.16,11.96,0.6,1.16,0.16,11.84,0.59,2
15.28,47.25,0.77,5.013,0.015,101.6,  6.1, 14.8, 1.1,4766,137,2.581,0.01,-0.19,0.3,1.41,0.11,10.09,0.27,1.27,0.1,9.56,0.25,1.42,0.11,10.11,0.27,1
13.87,40.54,0.85,4.316,0.046, 66.5,  2.6, 17.6, 1.5,4866,170,2.519,0.013,-0.26,0.3,1.68,0.17,11.8,0.44,1.54,0.15,11.3,0.42,1.7,0.17,11.89,0.45,2
13.77,95.0,2.11,7.896,0.032, 24.5,  1.9, 39.5, 9.5,5264,167,2.906,0.013,-0.36,0.3,2.17,0.2,8.59,0.27,2.24,0.2,8.74,0.28,2.29,0.21,8.84,0.28,2
13.57,161.95,1.06,13.1,0.025, 38.8,  1.8, 48.4, 4.5,5193,158,3.134,0.008,-0.1,0.3,1.39,0.09,5.29,0.12,1.42,0.09,5.35,0.12,1.41,0.09,5.33,0.12,1
12.51,49.14,0.44,5.247,0.013, 98.8,  4.4, 15.4, 0.7,4716,80,2.596,0.007,-0.13,0.15,1.3,0.07,9.53,0.19,1.17,0.06,9.02,0.17,1.3,0.07,9.52,0.18,1
11.75,37.15,1.05,4.01,0.036, 81.5,  3.3, 16.6, 2.3,4708,100,2.474,0.014,0.35,0.15,1.65,0.17,12.32,0.47,1.54,0.16,11.92,0.45,1.67,0.17,12.4,0.47,2
12.78,137.23,0.96,10.839,0.018, 39.4,  1.3, 43.8, 2.1,4931,80,3.051,0.006,0.03,0.15,1.67,0.08,6.37,0.11,1.6,0.08,6.24,0.11,1.7,0.08,6.43,0.12,1
12.79,34.33,0.67,4.079,0.039,119.2,  4.5, 15.1, 1.7,4727,80,2.44,0.01,0.19,0.15,1.22,0.1,11.02,0.35,1.15,0.09,10.68,0.34,1.23,0.1,11.06,0.35,2
12.01,113.52,1.01,9.484,0.016, 43.3,  1.6, 37.6, 1.6,4899,80,2.967,0.007,0.03,0.15,1.59,0.08,6.86,0.13,1.52,0.08,6.7,0.13,1.62,0.08,6.91,0.13,1
13.8,25.54,0.37,3.121,0.015,138.2,  6.0,  9.8, 0.8,4749,144,2.313,0.01,-0.4,0.3,1.48,0.11,14.04,0.38,1.3,0.1,13.18,0.35,1.45,0.11,13.92,0.38,1
12.87,64.93,0.47,6.36,0.016, 68.7,  3.3, 17.5, 1.2,4802,80,2.72,0.006,-0.14,0.15,1.43,0.07,8.64,0.16,1.31,0.07,8.26,0.15,1.45,0.07,8.69,0.16,1
13.95,106.99,0.66,9.431,0.012, 69.5,  2.5, 30.9, 1.3,4837,142,2.939,0.008,-0.27,0.3,1.34,0.08,6.5,0.14,1.22,0.07,6.2,0.13,1.35,0.08,6.53,0.14,1
13.63,48.42,1.41,4.594,0.04, 49.8,  1.9, 22.0, 1.4,5158,168,2.609,0.015,-0.12,0.3,2.43,0.27,12.81,0.52,2.51,0.28,13.02,0.52,2.54,0.29,13.11,0.53,2
9.43,31.4,1.33,4.004,0.12,104.2, 13.2, 12.0, 2.3,4902,145,2.409,0.02,0.16,0.3,1.06,0.2,10.66,0.81,1.07,0.2,10.7,0.82,1.07,0.2,10.67,0.81,2
13.22,31.12,0.58,3.852,0.124,111.4,  6.0, 14.0, 2.1,5035,160,2.411,0.012,-0.26,0.3,1.26,0.19,11.57,0.81,1.22,0.19,11.41,0.8,1.28,0.2,11.65,0.82,2
11.84,75.01,0.77,6.843,0.011, 60.8,  2.3, 25.9, 1.3,4723,100,2.78,0.008,0.36,0.15,1.61,0.09,8.56,0.18,1.51,0.09,8.3,0.17,1.63,0.09,8.61,0.18,1
12.21,32.48,0.96,3.915,0.041,138.2,  8.4, 14.4, 1.6,4602,80,2.41,0.014,0.33,0.15,1.17,0.13,11.17,0.45,1.08,0.12,10.72,0.42,1.17,0.13,11.16,0.45,2
12.22,100.56,0.58,8.477,0.017, 48.6,  1.7, 30.1, 1.4,4873,80,2.914,0.006,0.01,0.15,1.72,0.08,7.59,0.14,1.63,0.08,7.38,0.13,1.76,0.08,7.68,0.14,1
13.54,23.54,0.59,3.166,0.021,138.6,  7.8,  9.7, 1.6,4853,152,2.282,0.014,-0.44,0.3,1.13,0.11,12.71,0.45,1.01,0.1,12.04,0.42,1.13,0.11,12.71,0.45,2
12.73,34.92,0.4,3.998,0.011,142.2,  6.1, 12.8, 0.9,4536,80,2.439,0.008,0.1,0.15,1.31,0.07,11.44,0.24,1.16,0.07,10.77,0.22,1.31,0.07,11.42,0.24,1
12.72,137.33,0.87,11.905,0.021, 48.6,  1.8, 40.3, 1.6,4850,80,3.048,0.006,-0.27,0.15,1.12,0.05,5.24,0.09,1.03,0.05,5.03,0.09,1.12,0.05,5.25,0.09,1
11.74,41.54,0.73,4.561,0.021, 89.4,  3.6, 17.2, 1.4,4974,100,2.534,0.01,0.07,0.15,1.49,0.11,10.94,0.29,1.46,0.11,10.82,0.29,1.51,0.11,11.02,0.29,2
11.12,81.25,0.77,6.94,0.039, 40.9,  1.1, 29.4, 1.4,5229,100,2.836,0.007,-0.1,0.15,2.25,0.13,9.48,0.21,2.35,0.14,9.7,0.22,2.35,0.14,9.69,0.22,2
13.59,55.22,0.94,5.531,0.013, 83.2,  3.9, 20.3, 1.5,4844,149,2.652,0.011,-0.05,0.3,1.56,0.12,9.76,0.27,1.45,0.11,9.43,0.26,1.58,0.12,9.83,0.27,1
12.35,31.85,0.7,3.818,0.018,126.3,  5.0, 14.0, 1.5,4647,80,2.404,0.011,0.19,0.15,1.24,0.1,11.57,0.34,1.13,0.09,11.08,0.32,1.25,0.1,11.61,0.34,2
11.58,31.34,0.42,3.584,0.014,141.7,  8.5, 11.8, 1.1,4491,100,2.39,0.009,0.37,0.15,1.44,0.09,12.71,0.3,1.3,0.08,12.04,0.28,1.44,0.09,12.7,0.3,1
13.64,48.95,0.89,4.937,0.017, 69.1,  3.0, 18.3, 1.4,4881,149,2.601,0.011,-0.09,0.3,1.73,0.14,10.91,0.31,1.62,0.13,10.55,0.3,1.77,0.14,11.03,0.31,1
12.67,100.19,2.65,7.958,0.032, 24.5,  2.5, 46.5, 9.0,5091,167,2.922,0.014,-0.54,0.3,2.34,0.24,8.77,0.31,2.31,0.23,8.7,0.31,2.46,0.25,8.99,0.32,2
11.01,31.8,0.88,4.005,0.291,130.2, 14.6, 11.7, 2.5,4768,141,2.409,0.014,-0.16,0.3,1.06,0.33,10.64,1.59,0.97,0.29,10.16,1.49,1.06,0.33,10.64,1.59,2
13.07,49.66,0.68,5.324,0.017, 84.0,  5.3, 16.2, 1.2,4696,80,2.599,0.008,-0.01,0.15,1.26,0.08,9.33,0.21,1.14,0.07,8.88,0.2,1.27,0.08,9.36,0.21,1
10.63,88.17,0.68,7.721,0.014, 31.6,  1.3, 28.5, 1.9,4941,80,2.86,0.007,-0.25,0.15,1.72,0.09,8.08,0.15,1.61,0.08,7.82,0.14,1.76,0.09,8.17,0.15,1
12.07,31.75,0.59,3.383,0.131,125.3, 18.2,  8.6, 1.8,4471,132,2.394,0.011,-0.17,0.3,1.88,0.33,14.42,1.19,1.69,0.29,13.68,1.1,1.85,0.32,14.31,1.17,1
10.59,5.86,0.15,0.931,0.036,346.5, 45.2,  2.8, 0.6,4381,80,1.656,0.013,-0.4,0.15,1.99,0.36,34.75,2.89,1.85,0.33,33.44,2.74,1.97,0.35,34.53,2.87,1
13.85,28.01,0.9,3.775,0.058,116.5,  5.6, 12.0, 1.7,4478,156,2.34,0.016,0.08,0.3,0.83,0.11,10.22,0.51,0.72,0.09,9.53,0.47,0.83,0.11,10.21,0.51,2
12.02,29.53,0.36,3.632,0.013,137.8,  5.9,  9.8, 0.9,4440,133,2.361,0.009,-0.34,0.3,1.13,0.08,11.59,0.29,0.96,0.07,10.71,0.27,1.09,0.08,11.39,0.28,1
13.32,169.8,2.0,13.032,0.016, 26.6,  1.8, 55.6, 8.0,4936,80,3.144,0.008,0.1,0.15,1.51,0.09,5.46,0.11,1.47,0.08,5.38,0.11,1.54,0.09,5.5,0.11,1
13.23,180.57,1.05,13.96,0.021, 43.3,  1.7, 51.2, 2.6,4836,80,3.166,0.006,0.24,0.15,1.34,0.06,5.01,0.09,1.3,0.06,4.92,0.09,1.35,0.06,5.03,0.09,1
13.31,198.84,1.11,15.137,0.048, 38.5,  1.6, 75.0,16.1,5066,168,3.218,0.009,-0.17,0.3,1.39,0.09,4.8,0.11,1.37,0.09,4.76,0.11,1.41,0.09,4.85,0.11,1
13.296,204.87,2.16,16.441,0.056,     ,     ,     ,    ,4903,80,3.224,0.007,0.28,0.15,1.04,0.06,4.12,0.08,1.06,0.06,4.17,0.09,1.04,0.06,4.12,0.08,1
10.14,36.1,1.02,4.135,0.031, 95.6,  4.2, 15.9, 1.2,4727,80,2.462,0.014,0.1,0.15,1.34,0.13,11.28,0.41,1.24,0.12,10.84,0.39,1.36,0.14,11.34,0.41,2
12.53,187.64,0.9,14.37,0.032, 41.2,  1.7, 49.4, 2.0,4831,80,3.183,0.006,0.29,0.15,1.34,0.06,4.91,0.09,1.3,0.06,4.83,0.09,1.35,0.06,4.92,0.09,1
10.62,40.48,1.07,4.363,0.044,111.0,  4.3, 16.5, 1.1,4990,148,2.524,0.014,0.01,0.3,1.66,0.18,11.67,0.46,1.61,0.17,11.49,0.45,1.69,0.18,11.78,0.46,2
11.63,43.58,0.7,4.397,0.011, 68.9,  3.2, 16.8, 1.1,4807,100,2.547,0.009,-0.09,0.15,1.9,0.13,12.14,0.3,1.75,0.12,11.66,0.28,1.92,0.13,12.23,0.3,1
13.71,51.42,0.61,5.49,0.017, 95.9,  5.3, 16.4, 0.8,4978,147,2.627,0.009,-0.09,0.3,1.35,0.09,9.35,0.23,1.31,0.09,9.22,0.22,1.37,0.09,9.42,0.23,1
13.16,27.75,1.03,3.75,0.103,156.1,  8.1, 12.6, 1.7,5102,153,2.364,0.018,-0.03,0.3,1.01,0.17,10.95,0.76,1.05,0.18,11.18,0.78,1.02,0.17,10.98,0.76,2
13.76,90.33,0.75,8.339,0.015, 58.6,  2.5, 29.3, 1.4,5229,155,2.882,0.009,-0.19,0.3,1.48,0.09,7.3,0.16,1.51,0.1,7.38,0.17,1.52,0.1,7.38,0.17,1
12.24,10.8,0.18,1.661,0.045,266.4, 16.5,  4.0, 1.0,4531,80,1.929,0.009,-0.61,0.15,1.3,0.17,20.48,1.21,1.12,0.14,19.0,1.09,1.24,0.16,20.01,1.17,1
9.87,6.22,0.36,1.11,0.069,504.9, 81.8,  2.9, 0.7,4303,80,1.678,0.026,-0.21,0.15,1.15,0.35,25.74,3.55,0.99,0.29,23.82,3.19,1.11,0.34,25.28,3.46,1
11.09,68.55,1.25,5.897,0.03, 31.5,  1.4, 24.9, 1.7,4985,80,2.752,0.01,0.01,0.15,2.41,0.18,10.82,0.29,2.4,0.17,10.79,0.29,2.47,0.18,10.96,0.29,2
8.16,70.19,1.1,6.231,0.058, 46.2,  2.1, 27.1, 1.9,5092,149,2.767,0.01,-0.04,0.3,2.14,0.18,10.03,0.32,2.15,0.18,10.03,0.32,2.22,0.18,10.2,0.32,2
11.48,59.64,0.46,6.042,0.015, 94.4,  4.3, 18.8, 1.2,4761,100,2.682,0.007,0.04,0.15,1.34,0.07,8.76,0.17,1.25,0.07,8.43,0.17,1.36,0.07,8.81,0.18,1
15.19,27.65,1.08,3.822,0.094, 89.6,  7.8, 11.0, 3.5,5386,159,2.375,0.019,-0.52,0.3,1.01,0.16,10.8,0.71,1.06,0.17,11.07,0.74,1.03,0.17,10.91,0.72,2
11.41,26.95,0.43,3.525,0.021,158.0,  6.0, 11.3, 1.0,4831,100,2.34,0.009,0.13,0.15,1.09,0.08,11.72,0.31,1.07,0.08,11.58,0.31,1.1,0.08,11.74,0.31,2
11.16,73.56,0.55,6.625,0.012, 50.7,  2.6, 21.6, 1.1,4783,80,2.774,0.007,0.15,0.15,1.76,0.09,9.01,0.17,1.65,0.08,8.72,0.16,1.8,0.09,9.11,0.17,1
13.87,36.48,0.3,4.537,0.015, 98.8,  4.7, 11.5, 0.6,4879,170,2.474,0.009,-0.36,0.3,1.0,0.07,9.62,0.24,0.93,0.06,9.25,0.23,1.01,0.07,9.67,0.24,2
13.95,24.71,0.76,3.684,0.069,162.7,  7.1, 11.1, 1.2,5311,156,2.323,0.015,-0.34,0.3,0.82,0.11,10.31,0.54,0.87,0.11,10.64,0.56,0.83,0.11,10.37,0.55,2
13.25,173.46,0.76,14.058,0.055, 51.4,  2.7, 44.3, 1.7,5037,151,3.158,0.008,0.09,0.3,1.23,0.08,4.84,0.11,1.25,0.08,4.88,0.11,1.24,0.08,4.86,0.11,1
13.48,47.56,0.49,5.233,0.015, 98.0,  4.8, 15.8, 0.9,5021,147,2.595,0.009,-0.3,0.3,1.31,0.09,9.56,0.23,1.26,0.08,9.37,0.22,1.34,0.09,9.66,0.23,1
12.48,84.19,0.5,8.207,0.016, 71.9,  2.6, 24.8, 1.0,5144,147,2.848,0.008,-0.54,0.3,1.25,0.07,6.97,0.15,1.22,0.07,6.89,0.15,1.28,0.08,7.06,0.15,1
13.24,66.79,0.5,6.421,0.02, 66.9,  2.7, 19.1, 0.9,5166,159,2.749,0.009,-0.07,0.3,1.67,0.11,9.05,0.21,1.69,0.11,9.09,0.21,1.71,0.11,9.14,0.21,1
13.88,40.15,0.96,4.159,0.069, 69.2,  3.1, 18.3, 1.8,5174,165,2.528,0.013,0.12,0.3,2.07,0.24,12.98,0.6,2.14,0.25,13.2,0.61,2.12,0.24,13.14,0.61,2
9.65,34.92,0.58,4.009,0.027,105.5,  4.4, 14.2, 1.4,4662,80,2.445,0.009,0.19,0.15,1.35,0.1,11.53,0.31,1.24,0.09,11.04,0.3,1.36,0.1,11.59,0.31,2
13.8,29.39,0.64,3.814,0.098,140.8,  6.5, 11.8, 1.2,5204,155,2.394,0.012,-0.29,0.3,1.16,0.16,11.33,0.67,1.19,0.16,11.47,0.69,1.17,0.16,11.4,0.68,2
13.68,29.99,1.08,3.988,0.1,119.9,  5.8, 13.4, 2.2,5236,162,2.404,0.018,-0.13,0.3,1.04,0.16,10.6,0.69,1.09,0.17,10.87,0.71,1.04,0.17,10.62,0.69,2
12.52,33.98,0.61,3.934,0.046,108.6,  4.9, 15.3, 1.4,4775,100,2.438,0.01,0.34,0.15,1.39,0.12,11.79,0.41,1.33,0.11,11.52,0.39,1.39,0.12,11.81,0.41,2
13.35,36.17,0.45,4.333,0.015,114.3,  5.1, 12.2, 0.7,5152,153,2.482,0.009,-0.62,0.3,1.28,0.09,10.75,0.27,1.24,0.09,10.6,0.26,1.31,0.09,10.91,0.27,1
12.79,37.76,0.44,4.314,0.056,111.9,  6.0, 14.1, 3.3,4787,80,2.484,0.008,0.03,0.15,1.32,0.1,10.91,0.36,1.23,0.09,10.54,0.34,1.34,0.1,10.97,0.36,2
12.74,23.19,0.43,2.964,0.016,156.5,  7.8,  9.8, 1.1,4553,80,2.262,0.01,-0.07,0.15,1.28,0.1,13.84,0.38,1.12,0.08,12.97,0.35,1.26,0.09,13.76,0.37,1
10.37,34.98,0.67,3.98,0.036,105.7,  4.6, 13.4, 1.2,4963,100,2.459,0.01,0.02,0.15,1.53,0.13,12.09,0.38,1.48,0.12,11.89,0.37,1.55,0.13,12.17,0.38,2
13.28,44.61,0.6,4.797,0.015, 83.4,  4.0, 16.4, 1.3,5058,156,2.569,0.01,-0.02,0.3,1.55,0.11,10.72,0.28,1.54,0.11,10.66,0.27,1.57,0.11,10.79,0.28,1
10.37,26.92,0.61,3.088,0.032, 91.9,  4.9, 11.1, 1.4,4707,80,2.334,0.011,0.05,0.15,1.78,0.16,15.05,0.52,1.63,0.15,14.4,0.5,1.8,0.16,15.15,0.53,2
12.87,33.77,0.73,3.995,0.044,107.3,  5.0, 12.5, 1.2,4674,80,2.431,0.011,0.25,0.15,1.24,0.11,11.24,0.39,1.16,0.1,10.84,0.38,1.25,0.11,11.27,0.4,2
13.18,48.71,0.57,5.306,0.018, 72.4,  4.2, 16.7, 1.4,5006,146,2.605,0.009,-0.43,0.3,1.33,0.09,9.51,0.23,1.25,0.09,9.23,0.22,1.36,0.09,9.63,0.24,1
11.88,50.67,0.51,5.208,0.012, 80.4,  3.9, 16.5, 1.0,4938,100,2.619,0.008,-0.28,0.15,1.58,0.09,10.2,0.21,1.47,0.08,9.86,0.2,1.61,0.09,10.32,0.21,1
10.63,179.17,0.76,14.364,0.042, 40.7,  1.3, 48.5, 2.2,4881,80,3.165,0.006,-0.05,0.15,1.18,0.06,4.71,0.08,1.13,0.05,4.61,0.08,1.19,0.06,4.73,0.08,1
12.68,28.13,0.47,3.571,0.033,129.6,  6.8, 11.4, 1.1,4873,141,2.36,0.011,0.09,0.3,1.2,0.1,11.97,0.38,1.16,0.1,11.8,0.38,1.2,0.1,12.0,0.39,2
12.58,36.18,0.6,4.059,0.012,110.5,  5.7, 13.9, 1.2,4595,100,2.457,0.01,0.25,0.15,1.4,0.1,11.57,0.29,1.27,0.09,11.02,0.27,1.41,0.1,11.62,0.29,1
12.63,37.84,0.6,4.09,0.013, 88.1,  4.2, 13.5, 1.2,4798,80,2.486,0.009,-0.25,0.15,1.65,0.11,12.18,0.29,1.49,0.1,11.55,0.27,1.66,0.11,12.2,0.29,1
10.39,34.79,0.82,3.811,0.015, 99.9,  4.8, 12.8, 1.1,5029,146,2.46,0.013,-0.11,0.3,1.83,0.17,13.2,0.42,1.77,0.16,12.97,0.42,1.88,0.17,13.37,0.43,1
12.32,80.19,0.97,6.714,0.042, 35.9,  1.5, 31.0, 1.9,5070,80,2.824,0.008,0.07,0.15,2.36,0.15,9.84,0.23,2.4,0.15,9.94,0.24,2.45,0.15,10.04,0.24,2
12.4,59.94,0.52,5.965,0.017, 89.9,  3.6, 18.6, 0.7,4805,168,2.686,0.01,-0.11,0.3,1.46,0.1,9.07,0.22,1.34,0.09,8.69,0.21,1.47,0.1,9.12,0.23,1
11.8,27.71,0.35,3.958,0.159,130.5,  5.5, 10.7, 0.8,4928,80,2.356,0.008,-0.66,0.15,0.77,0.13,9.65,0.8,0.71,0.12,9.28,0.76,0.79,0.14,9.78,0.82,2
12.9,31.79,0.41,4.158,0.074,118.8,  5.1, 11.6, 0.9,4941,80,2.417,0.008,-0.27,0.15,0.96,0.09,10.05,0.41,0.94,0.09,9.92,0.41,0.96,0.09,10.05,0.41,2
13.11,29.17,0.47,3.261,0.352, 93.2,  4.1, 12.5, 1.6,5226,164,2.391,0.011,-0.84,0.3,2.13,0.94,15.41,3.35,2.13,0.94,15.42,3.35,2.32,1.04,16.07,3.57,2
13.25,109.05,0.66,9.815,0.015, 55.3,  2.1, 32.7, 1.4,5144,159,2.961,0.008,-0.18,0.3,1.33,0.08,6.31,0.14,1.34,0.08,6.34,0.14,1.35,0.08,6.36,0.14,1
13.46,98.97,0.59,9.203,0.019, 62.8,  2.2, 29.6, 1.4,5018,151,2.913,0.008,-0.23,0.3,1.24,0.08,6.43,0.14,1.2,0.07,6.35,0.14,1.25,0.08,6.47,0.14,1
8.53,106.16,0.7,9.359,0.019, 54.0,  1.9, 32.7, 1.5,4982,144,2.942,0.008,-0.01,0.3,1.41,0.08,6.65,0.14,1.38,0.08,6.57,0.14,1.43,0.09,6.69,0.14,1
15.57,63.33,0.61,6.56,0.02,102.4,  4.3, 20.8, 1.9,5008,150,2.719,0.009,-0.16,0.3,1.25,0.08,8.09,0.19,1.22,0.08,8.0,0.19,1.26,0.08,8.14,0.19,1
12.4,72.64,0.57,7.067,0.014, 76.0,  3.0, 21.7, 1.0,4704,80,2.765,0.007,-0.01,0.15,1.27,0.06,7.75,0.14,1.16,0.06,7.39,0.14,1.28,0.06,7.77,0.15,1
13.89,28.96,0.67,3.838,0.138,132.8,  7.1, 13.4, 1.3,5016,160,2.379,0.013,-0.02,0.3,1.02,0.17,10.82,0.85,1.05,0.18,10.96,0.86,1.03,0.18,10.85,0.85,2
11.31,66.5,1.35,6.02,0.031, 46.4,  3.4, 19.5, 2.2,4826,80,2.732,0.01,-0.02,0.15,1.93,0.15,9.91,0.28,1.8,0.14,9.57,0.27,1.97,0.15,10.0,0.28,1
13.53,33.92,0.46,4.072,0.076,143.5,  7.0, 13.0, 1.1,4815,147,2.439,0.01,0.2,0.3,1.22,0.13,11.03,0.49,1.18,0.12,10.84,0.48,1.23,0.13,11.07,0.5,2
13.56,53.08,0.36,5.362,0.02, 91.7,  4.9, 16.4, 1.2,4955,159,2.64,0.009,0.11,0.3,1.62,0.11,10.1,0.24,1.57,0.1,9.95,0.23,1.65,0.11,10.19,0.24,1
11.8,33.78,0.78,4.181,0.015,108.3,  5.6, 13.4, 1.1,4983,80,2.445,0.011,-0.31,0.15,1.14,0.09,10.6,0.31,1.09,0.09,10.38,0.3,1.16,0.1,10.67,0.31,2
13.36,123.43,0.86,11.12,0.038, 55.7,  2.5, 36.5, 2.2,5156,151,3.015,0.008,-0.64,0.3,1.17,0.07,5.57,0.13,1.15,0.07,5.51,0.12,1.2,0.07,5.65,0.13,1
12.3,32.36,1.11,4.072,0.085,102.7,  6.4, 13.4, 1.5,4894,80,2.422,0.016,-0.24,0.15,1.08,0.15,10.61,0.6,1.02,0.14,10.3,0.58,1.09,0.15,10.64,0.6,2
11.14,7.99,0.74,1.237,0.079,399.1, 82.6,  3.3, 0.6,4181,80,1.78,0.041,0.15,0.15,1.51,0.57,26.23,4.16,1.33,0.5,24.63,3.82,1.49,0.56,25.99,4.11,1
11.66,40.17,0.63,4.509,0.021, 79.4,  3.6, 15.6, 1.1,4879,80,2.515,0.009,-0.15,0.15,1.37,0.09,10.73,0.26,1.29,0.09,10.37,0.25,1.4,0.09,10.82,0.27,2
13.07,43.64,0.45,4.841,0.016,105.5,  5.6, 14.4, 1.0,4716,80,2.544,0.007,-0.26,0.15,1.26,0.07,9.94,0.2,1.11,0.06,9.34,0.19,1.25,0.07,9.88,0.2,1
12.71,35.47,0.85,4.129,0.041, 89.2,  3.9, 13.3, 1.1,4856,80,2.46,0.012,-0.15,0.15,1.34,0.12,11.27,0.4,1.24,0.12,10.86,0.38,1.35,0.13,11.35,0.4,2
11.9,34.18,0.35,3.981,0.031,125.6,  4.9, 13.5, 1.1,4919,100,2.447,0.008,0.17,0.15,1.41,0.09,11.75,0.3,1.38,0.09,11.62,0.3,1.43,0.09,11.83,0.3,2
11.91,25.16,1.17,3.505,0.069,156.7,  8.0, 12.7, 3.2,4818,100,2.309,0.021,0.28,0.15,0.91,0.15,11.05,0.7,0.93,0.16,11.17,0.71,0.91,0.15,11.04,0.7,2
13.68,56.56,0.98,5.852,0.019, 86.0,  5.0, 17.4, 1.7,4888,148,2.664,0.011,-0.05,0.3,1.36,0.11,8.97,0.25,1.29,0.1,8.74,0.24,1.37,0.11,9.04,0.25,1
13.55,58.61,0.59,5.747,0.014, 85.6,  5.4, 16.0, 1.1,4888,145,2.68,0.009,0.15,0.3,1.62,0.11,9.64,0.22,1.56,0.1,9.44,0.22,1.65,0.11,9.73,0.23,1
10.75,41.25,0.54,4.412,0.051, 78.4,  3.3, 13.7, 1.4,4806,100,2.524,0.008,-0.09,0.15,1.59,0.12,11.42,0.36,1.46,0.11,10.94,0.34,1.61,0.12,11.48,0.37,2
12.12,31.45,0.46,4.137,0.034,121.0,  5.0, 12.4, 0.9,4878,80,2.409,0.008,-0.32,0.15,0.93,0.06,9.98,0.27,0.88,0.06,9.68,0.26,0.94,0.07,10.01,0.27,2
14.72,106.26,1.1,9.273,0.018, 51.4,  2.1, 35.9, 3.5,4902,141,2.939,0.009,-0.29,0.3,1.43,0.09,6.72,0.15,1.32,0.09,6.46,0.15,1.46,0.09,6.78,0.16,1
